time, Quad1.Est.E.VX, Quad2.Est.E.VX, Quad3.Est.E.VX, Quad4.Est.E.VX, Quad5.Est.E.VX, Quad6.Est.E.VX, Quad7.Est.E.VX, Quad8.Est.E.VX, Quad9.Est.E.VX, Quad10.Est.E.VX, Quad1.Est.S.VX, Quad1.Est.S.VX
0.434998,-0.098552,-0.055423,0.066877,0.040047,0.018586,0.021527,-0.059460,0.067578,-0.008270,-0.001540,0.105318,-0.105318
0.439998,-0.100960,-0.055828,0.067021,0.037853,0.016640,0.023659,-0.059365,0.069378,-0.009248,-0.000709,0.105366,-0.105366
0.444998,-0.098115,-0.060584,0.070285,0.041936,0.019699,0.024122,-0.058580,0.070399,-0.011128,0.000328,0.105438,-0.105438
0.449998,-0.097758,-0.062493,0.068921,0.043459,0.019736,0.024533,-0.058603,0.071682,-0.010289,0.001449,0.105486,-0.105486
0.454998,-0.097531,-0.064954,0.069401,0.042876,0.020876,0.027077,-0.060718,0.070951,-0.009461,0.004274,0.105557,-0.105557
0.459998,-0.096374,-0.067257,0.068508,0.043997,0.020246,0.027565,-0.062568,0.072744,-0.010836,0.005212,0.105605,-0.105605
0.464998,-0.095602,-0.071735,0.067982,0.047573,0.020169,0.031182,-0.063495,0.073510,-0.010038,0.006918,0.105676,-0.105676
0.469997,-0.096253,-0.070299,0.066862,0.044739,0.020341,0.030173,-0.063865,0.075399,-0.012435,0.006199,0.105724,-0.105724
0.474997,-0.095542,-0.073118,0.065255,0.041822,0.022292,0.034403,-0.066066,0.079838,-0.015491,0.006808,0.105796,-0.105796
0.479997,-0.095833,-0.073558,0.063955,0.041412,0.023497,0.036688,-0.066782,0.081637,-0.015746,0.007042,0.105843,-0.105843
0.484997,-0.092253,-0.074557,0.066170,0.042701,0.020547,0.036973,-0.065233,0.083423,-0.017000,0.006722,0.105915,-0.105915
0.489997,-0.094213,-0.073796,0.068199,0.040821,0.021130,0.038065,-0.065845,0.082137,-0.016842,0.007322,0.105962,-0.105962
0.494997,-0.094476,-0.075227,0.069365,0.039666,0.020549,0.038200,-0.063977,0.083352,-0.020916,0.009639,0.106034,-0.106034
0.499997,-0.095409,-0.079446,0.070660,0.038682,0.021009,0.040012,-0.062284,0.083585,-0.019140,0.010972,0.106082,-0.106082
0.504997,-0.097109,-0.080218,0.069702,0.039096,0.020656,0.042248,-0.063252,0.085020,-0.020642,0.011380,0.106154,-0.106154
0.509997,-0.096749,-0.080284,0.074568,0.041052,0.021957,0.043501,-0.063614,0.086277,-0.020491,0.012442,0.106202,-0.106202
0.514997,-0.095658,-0.079844,0.076079,0.042268,0.019476,0.044203,-0.063551,0.088662,-0.022117,0.012251,0.106274,-0.106274
0.519997,-0.095340,-0.081438,0.074684,0.042857,0.018573,0.046821,-0.062085,0.087771,-0.023885,0.011496,0.106322,-0.106322
0.524997,-0.095243,-0.086531,0.076435,0.045493,0.019663,0.043421,-0.061742,0.090917,-0.024972,0.011381,0.106394,-0.106394
0.529997,-0.093705,-0.086180,0.076794,0.045993,0.018748,0.043501,-0.061557,0.096896,-0.027699,0.010099,0.106441,-0.106441
0.534997,-0.093447,-0.087375,0.077469,0.047497,0.018575,0.042000,-0.059633,0.098063,-0.027207,0.012037,0.106513,-0.106513
0.539997,-0.092289,-0.087234,0.078017,0.048325,0.019628,0.043095,-0.060914,0.097075,-0.027679,0.011368,0.106561,-0.106561
0.544997,-0.095337,-0.090647,0.077060,0.049006,0.020785,0.042175,-0.057011,0.096712,-0.031718,0.010750,0.106632,-0.106632
0.549996,-0.094480,-0.091743,0.078291,0.047691,0.020910,0.041241,-0.057272,0.099531,-0.034913,0.011768,0.106679,-0.106679
0.554996,-0.091414,-0.095497,0.076730,0.047628,0.018519,0.040896,-0.057208,0.103005,-0.033253,0.012113,0.106751,-0.106751
0.559996,-0.090720,-0.098942,0.075174,0.049292,0.016543,0.043784,-0.057585,0.103646,-0.034128,0.011185,0.106798,-0.106798
0.564996,-0.095354,-0.100867,0.074861,0.050663,0.016633,0.045044,-0.059189,0.104134,-0.034684,0.010336,0.106870,-0.106870
0.569996,-0.094136,-0.100839,0.073545,0.048627,0.017272,0.042923,-0.059437,0.104355,-0.035511,0.011677,0.106918,-0.106918
0.574996,-0.093239,-0.099541,0.070484,0.049688,0.016435,0.042465,-0.057128,0.102942,-0.033983,0.012497,0.106989,-0.106989
0.579996,-0.092337,-0.103075,0.070192,0.048962,0.018886,0.043319,-0.057906,0.104886,-0.036268,0.012675,0.107037,-0.107037
0.584996,-0.095374,-0.104479,0.071510,0.049224,0.019951,0.044368,-0.057550,0.104182,-0.036563,0.011829,0.107109,-0.107109
0.589996,-0.093425,-0.104855,0.073077,0.047193,0.018296,0.044229,-0.057954,0.107922,-0.033709,0.013514,0.107157,-0.107157
0.594996,-0.093888,-0.106890,0.071152,0.048373,0.019436,0.046446,-0.059790,0.112973,-0.036593,0.012070,0.107229,-0.107229
0.599996,-0.095892,-0.108281,0.069831,0.049114,0.021046,0.046064,-0.055983,0.114916,-0.035537,0.012350,0.107276,-0.107276
0.604996,-0.094874,-0.111151,0.068230,0.050427,0.017521,0.049354,-0.056817,0.116019,-0.036338,0.016535,0.107347,-0.107347
0.609996,-0.093925,-0.110326,0.067421,0.049910,0.019620,0.049821,-0.058836,0.117423,-0.036493,0.015501,0.107395,-0.107395
0.614996,-0.092024,-0.111484,0.067005,0.052481,0.020629,0.049438,-0.061155,0.117798,-0.034207,0.013167,0.107465,-0.107465
0.619996,-0.092196,-0.112536,0.066581,0.055567,0.018269,0.052215,-0.060641,0.119458,-0.033847,0.013373,0.107513,-0.107513
