time, Quad1.Est.E.X, Quad2.Est.E.X, Quad3.Est.E.X, Quad4.Est.E.X, Quad5.Est.E.X, Quad6.Est.E.X, Quad7.Est.E.X, Quad8.Est.E.X, Quad9.Est.E.X, Quad10.Est.E.X, Quad1.Est.S.X, Quad1.Est.S.X
0.359999,-0.012751,-0.002704,0.009719,0.004640,0.004127,-0.003320,-0.007204,0.007429,-0.002678,-0.000976,0.110610,-0.110610
0.364999,-0.013286,-0.002908,0.010072,0.004834,0.004292,-0.003316,-0.007494,0.007704,-0.002691,-0.000993,0.110883,-0.110883
0.369999,-0.013648,-0.003046,0.010311,0.004970,0.004397,-0.003305,-0.007687,0.007895,-0.002702,-0.001015,0.111067,-0.111067
0.374999,-0.014207,-0.003262,0.010663,0.005165,0.004560,-0.003276,-0.007981,0.008185,-0.002722,-0.001035,0.111345,-0.111345
0.379999,-0.014591,-0.003408,0.010904,0.005298,0.004668,-0.003243,-0.008169,0.008388,-0.002732,-0.001042,0.111532,-0.111532
0.384999,-0.015168,-0.003648,0.011262,0.005511,0.004835,-0.003182,-0.008448,0.008690,-0.002753,-0.001049,0.111815,-0.111815
0.389999,-0.015554,-0.003814,0.011504,0.005649,0.004942,-0.003133,-0.008638,0.008884,-0.002762,-0.001054,0.112005,-0.112005
0.394998,-0.016132,-0.004068,0.011873,0.005851,0.005108,-0.003051,-0.008941,0.009175,-0.002774,-0.001076,0.112292,-0.112292
0.399998,-0.016524,-0.004241,0.012123,0.005979,0.005212,-0.002985,-0.009156,0.009375,-0.002768,-0.001099,0.112486,-0.112486
0.404998,-0.017122,-0.004501,0.012504,0.006171,0.005354,-0.002881,-0.009494,0.009692,-0.002756,-0.001143,0.112778,-0.112778
0.409998,-0.017526,-0.004688,0.012763,0.006294,0.005454,-0.002803,-0.009720,0.009910,-0.002760,-0.001173,0.112974,-0.112974
0.414998,-0.018116,-0.004971,0.013153,0.006480,0.005601,-0.002688,-0.010054,0.010243,-0.002769,-0.001210,0.113270,-0.113270
0.419998,-0.018512,-0.005168,0.013416,0.006609,0.005695,-0.002609,-0.010278,0.010468,-0.002781,-0.001223,0.113470,-0.113470
0.424998,-0.019107,-0.005468,0.013823,0.006826,0.005827,-0.002489,-0.010619,0.010833,-0.002805,-0.001232,0.113771,-0.113771
0.429998,-0.019510,-0.005679,0.014097,0.006983,0.005910,-0.002413,-0.010845,0.011091,-0.002818,-0.001232,0.113973,-0.113973
0.434998,-0.020112,-0.006008,0.014511,0.007230,0.006033,-0.002284,-0.011198,0.011492,-0.002848,-0.001231,0.114279,-0.114279
0.439998,-0.020505,-0.006230,0.014779,0.007390,0.006106,-0.002195,-0.011436,0.011764,-0.002882,-0.001237,0.114484,-0.114484
0.444998,-0.021103,-0.006571,0.015187,0.007619,0.006211,-0.002053,-0.011792,0.012179,-0.002941,-0.001246,0.114794,-0.114794
0.449998,-0.021497,-0.006814,0.015466,0.007788,0.006288,-0.001954,-0.012026,0.012460,-0.002986,-0.001244,0.115002,-0.115002
0.454998,-0.022083,-0.007194,0.015879,0.008041,0.006409,-0.001799,-0.012385,0.012894,-0.003046,-0.001227,0.115317,-0.115317
0.459998,-0.022470,-0.007456,0.016155,0.008210,0.006492,-0.001690,-0.012632,0.013181,-0.003085,-0.001208,0.115528,-0.115528
0.464998,-0.023046,-0.007868,0.016563,0.008476,0.006612,-0.001519,-0.013007,0.013617,-0.003147,-0.001173,0.115847,-0.115847
0.469997,-0.023431,-0.008155,0.016830,0.008662,0.006692,-0.001394,-0.013263,0.013912,-0.003189,-0.001146,0.116061,-0.116061
0.474997,-0.024005,-0.008583,0.017233,0.008922,0.006816,-0.001203,-0.013649,0.014372,-0.003272,-0.001109,0.116384,-0.116384
0.479997,-0.024387,-0.008876,0.017493,0.009090,0.006907,-0.001061,-0.013914,0.014695,-0.003330,-0.001083,0.116601,-0.116601
0.484997,-0.024953,-0.009319,0.017880,0.009336,0.007038,-0.000841,-0.014317,0.015191,-0.003423,-0.001041,0.116928,-0.116928
0.489997,-0.025326,-0.009616,0.018148,0.009506,0.007120,-0.000693,-0.014580,0.015524,-0.003492,-0.001013,0.117148,-0.117148
0.494997,-0.025890,-0.010060,0.018559,0.009749,0.007243,-0.000462,-0.014976,0.016020,-0.003600,-0.000960,0.117479,-0.117479
0.499997,-0.026268,-0.010365,0.018840,0.009907,0.007325,-0.000309,-0.015234,0.016355,-0.003682,-0.000919,0.117702,-0.117702
0.504997,-0.026841,-0.010848,0.019262,0.010143,0.007446,-0.000066,-0.015610,0.016864,-0.003800,-0.000848,0.118037,-0.118037
0.509997,-0.027226,-0.011169,0.019547,0.010301,0.007530,0.000103,-0.015865,0.017205,-0.003883,-0.000802,0.118263,-0.118263
0.514997,-0.027807,-0.011649,0.019998,0.010547,0.007654,0.000368,-0.016249,0.017729,-0.004012,-0.000726,0.118602,-0.118602
0.519997,-0.028188,-0.011969,0.020301,0.010715,0.007731,0.000546,-0.016498,0.018081,-0.004101,-0.000677,0.118830,-0.118830
0.524997,-0.028757,-0.012467,0.020753,0.010974,0.007844,0.000823,-0.016870,0.018618,-0.004247,-0.000609,0.119174,-0.119174
0.529997,-0.029135,-0.012813,0.021059,0.011159,0.007920,0.000995,-0.017115,0.018988,-0.004350,-0.000563,0.119405,-0.119405
0.534997,-0.029693,-0.013331,0.021522,0.011436,0.008039,0.001248,-0.017479,0.019573,-0.004517,-0.000501,0.119753,-0.119753
0.539997,-0.030063,-0.013681,0.021832,0.011626,0.008114,0.001417,-0.017721,0.019965,-0.004626,-0.000454,0.119986,-0.119986
